"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Congo, Dem. Rep.","COD","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.10171","10.80977","10.4921","10.31259","10.22144","10.83753","9.948858","9.769777","9.424923","9.313219","9.631689","9.764335","9.604085","10.08477","10.38609","10.94613","11.77213","12.92193","13.57448","15.09471","16.34221","17.45749","18.2354","19.07482","19.38478","19.32194","19.54313","20.1176","19.85527","18.81338","19.30575","",
"Congo, Rep.","COG","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.37403","21.36723","21.30984","21.09382","21.0546","21.08715","20.99491","21.03897","20.84541","21.02045","21.15541","21.36364","21.40465","21.50657","21.82327","22.2463","21.88969","21.92677","22.27355","22.76028","23.03974","23.70181","24.09682","24.85309","25.31313","25.25838","25.25558","25.15617","25.32441","23.5287","23.76458","",
"Colombia","COL","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.80273","50.84572","50.94876","51.08644","51.22395","51.238","51.3311","51.20684","50.69589","50.55566","50.50152","50.38521","50.33195","49.61949","51.05619","51.6653","54.27459","49.38245","47.42774","46.57422","46.42493","46.79208","47.63584","48.46424","48.92072","48.84786","48.88664","48.59367","50.41784","49.17927","49.09227","",
"Comoros","COM","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.20522","31.3712","31.3295","30.87778","30.72112","30.33693","30.19937","29.90068","29.60773","29.9893","29.91906","29.87156","29.86222","29.92741","31.18058","32.37352","33.69069","34.82598","35.97276","37.08294","38.22207","39.23332","40.45293","41.43172","41.24165","41.20042","41.13354","41.10144","40.96201","40.50264","41.21985","",
"Cabo Verde","CPV","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.33601","48.39145","48.38192","48.81799","49.33199","49.86492","50.43169","51.18653","52.01411","53.2445","53.7264","54.0957","54.17596","54.62899","54.97297","55.45259","56.55303","57.56804","57.97327","58.32087","58.77225","59.0856","59.29886","59.43173","59.76974","63.68196","66.20677","68.14013","68.17807","67.98765","68.73564","",
"Costa Rica","CRI","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.64587","71.92434","71.89772","71.86321","71.38242","71.21938","69.91531","70.93996","70.96261","70.76099","68.83061","68.29996","69.4696","68.76683","71.41096","70.69412","73.04357","72.86966","72.682","75.19041","77.83533","77.25732","74.49859","75.5994","75.68697","76.55945","75.68843","74.87102","73.35863","73.39072","73.83997","",
"Caribbean small states","CSS","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.9692942424786","65.8532664239938","66.6023913361812","66.8919447828171","67.8535919058613","67.7962501137267","68.2815244597643","68.4937259755551","68.2752774911099","68.5510748804409","68.7763439350026","69.7370524932776","69.8750164771663","70.13270429651","70.6912425169311","70.5273992953482","71.3441541805841","70.107464417538","69.8694337776308","69.7591799643566","69.6361835188543","69.775138370437","69.4886398535008","69.5977264659501","69.2234774207674","68.9600288883914","68.8917764467831","68.7786592838143","68.3851735283616","68.0959232647943","68.515341115879","",
"Cuba","CUB","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.12318","92.90218","92.54024","92.43104","92.30404","92.60475","91.57894","90.40534","88.93769","88.40846","87.19547","87.1473","86.10104","85.80405","86.11539","87.39747","88.0909","87.83193","88.34281","88.17535","81.46744","79.49288","78.36871","76.91456","75.83751","74.39785","73.10047","72.77853","72.26299","72.62115","72.99416","",
"Curacao","CUW","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","SL.EMP.WORK.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
